,Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
171,401,20902093001906,January,AK,429.0975,1000.0,40,44,1,,25,2,7,0,0,"Native, Born In US",94,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,25.0,3.2188758248682006
178,411,51250720790591,January,AK,376.2633,1538.46,40,44,1,,43,2,1,1,4,"Native, Born In US",94,"Colleges and universities, including junior colleges (6112, 6113)",230,Government - State,No,No,Employed-At Work,1,38.4615,3.649657740960155
179,412,51250720790591,January,AK,374.8012,1250.0,38,44,1,,48,1,1,1,4,"Native, Born In US",94,"Administration of economic programs and space research (926, 927)",1360,Government - State,Yes,,Employed-At Work,0,32.89473684210526,3.493312670569961
182,416,57420720792899,January,AK,389.2661,1400.0,38,44,1,,39,2,7,0,0,"Foreign Born, Not a US Citizen",94,"Administration of environmental quality and housing programs (924, 925)",1610,Government - State,Yes,,Employed-At Work,1,36.8421052631579,3.606641355876964
185,428,74903008055293,January,AK,429.0975,1000.0,40,44,1,,28,2,7,0,0,"Native, Born In US",94,"Justice, public order, and safety activities (922, pt. 92115)",2145,Government - State,No,No,Employed-At Work,1,25.0,3.2188758248682006
186,429,75933206026296,January,AK,478.0921,1730.0,50,44,1,1.0,29,2,1,0,0,"Native, Born In US",94,Hospitals (622),350,"Private, For Profit",No,No,Employed-At Work,1,34.6,3.543853682063679
192,441,95923702037296,January,AK,418.9967,680.0,40,46,4,,62,2,1,0,0,"Foreign Born, US Cit By Naturalization",94,"Residential care facilities, without nursing (6232, 6233, 6239)",3600,Government - State,Yes,,Employed-Absent,1,17.0,2.833213344056216
288,637,92913906037428,January,AZ,2627.104,1250.0,40,44,2,,47,2,1,2,3,"Foreign Born, US Cit By Naturalization",86,"Other health care services (6215, 6219)",3255,"Private, For Profit",No,No,Employed-At Work,1,31.25,3.4420193761824107
293,651,207004430306994,January,AZ,3410.8853,2500.0,40,44,4,,51,1,1,0,0,"Foreign Born, US Cit By Naturalization",86,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work,0,62.5,4.135166556742356
295,656,235004820400137,January,AZ,3434.7076,1384.61,40,44,1,,62,1,1,0,0,"Native, Born In US",86,"Justice, public order, and safety activities (922, pt. 92115)",2100,Government - Federal,No,No,Employed-At Work,0,34.615249999999996,3.544294336406378
315,702,700409931145569,January,AZ,4457.2145,1442.0,60,46,4,,57,1,1,3,5,"Native, Born In US",86,Hospitals (622),3060,"Private, For Profit",No,Yes,Employed-At Work,0,24.033333333333335,3.179441755622794
316,703,700409931145569,January,AZ,3939.9377,1730.0,60,46,4,,39,2,1,3,5,"Native, Born In US",86,Hospitals (622),3060,"Private, For Profit",No,Yes,Employed-At Work,1,28.833333333333332,3.361532125269724
339,752,29034246030940,January,AZ,4424.1187,1788.46,55,45,1,,33,2,1,0,0,"Native, Born In US",86,Veterinary services (54194),3250,"Private, For Profit",No,No,Employed-At Work,1,32.51745454545455,3.481777008106071
340,753,29034246030940,January,AZ,4773.3172,1884.61,45,44,1,,34,1,1,0,0,"Native, Born In US",86,"Aerospace products and parts manufacturing (336414, 336415, 336419)",1320,"Private, For Profit",No,No,Employed-At Work,0,41.88022222222222,3.734813692154023
345,760,77450340045007,January,AZ,2685.7836,961.0,40,44,2,,46,1,1,0,0,"Native, Born In US",86,Insurance carriers and related activities (524),4810,"Private, For Profit",No,No,Employed-At Work,0,24.025,3.1790949548563563
346,761,77450340045007,January,AZ,2835.3902,500.0,40,44,2,,43,2,1,0,0,"Native, Born In US",86,"Banking and related activities (521, 52211,52219)",430,"Private, For Profit",No,No,Employed-At Work,1,12.5,2.5257286443082556
352,777,140328063906491,January,AZ,3999.9218,2884.61,50,46,1,,41,2,1,3,3,"Native, Born In US",86,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1,57.6922,4.0551219824004106
353,778,140328063906491,January,AZ,4326.3262,600.0,50,44,1,,40,1,1,3,3,"Native, Born In US",86,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-At Work,0,12.0,2.4849066497880004
358,784,140603073808694,January,AZ,4664.7207,1057.69,40,44,1,,54,2,1,0,0,"Native, Born In US",86,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,26.44225,3.274963109698682
362,800,403902310698614,January,AZ,4158.2245,1557.5,50,46,4,,44,2,7,2,8,"Foreign Born, US Cit By Naturalization",86,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,No,Employed-At Work,1,31.15,3.4388142452334622
363,801,430249009603420,January,AZ,5772.5901,2019.23,40,44,4,,33,1,1,0,0,"Foreign Born, Not a US Citizen",86,Computer systems design and related services (5415),1430,"Private, For Profit",No,No,Employed-At Work,0,50.48075,3.9215920754918434
397,902,945084967039340,January,AZ,3475.1573,673.07,60,44,1,,62,1,5,0,0,"Native, Born In US",86,Travel arrangements and reservation services (5615),5700,"Private, For Profit",No,No,Employed-At Work,0,11.217833333333335,2.4175047739008386
430,955,980959095007799,January,AR,1808.9381,2038.46,45,44,1,,62,2,5,0,0,"Native, Born In US",71,Outpatient care centers (6214),3245,"Private, For Profit",No,No,Employed-At Work,1,45.29911111111111,3.813287410025191
463,1045,700506937384998,January,AR,2260.4916,1442.3,45,44,1,,32,1,1,2,1,"Native, Born In US",71,****Department stores and discount stores (s45211),800,"Private, For Profit",No,No,Employed-At Work,0,32.05111111111111,3.4673318508191446
492,1097,985989670786005,January,AR,1876.4358,1288.46,40,44,1,,61,1,1,0,0,"Native, Born In US",71,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,0,32.2115,3.472323531647176
509,1137,599630544390630,January,AR,1483.9404,1800.0,40,44,1,,38,2,1,3,8,"Native, Born In US",71,Home health care services (6216),3160,"Private, For Profit",No,No,Employed-At Work,1,45.0,3.8066624897703196
525,1199,965159070919006,January,AR,1709.1787,490.4,40,44,1,,46,2,5,0,0,"Native, Born In US",71,Real estate (531),5120,"Private, For Profit",No,No,Employed-At Work,1,12.26,2.506341930508065
528,1210,23408025621,January,CA,3459.5845,2884.61,80,45,1,,36,1,7,0,0,"Foreign Born, Not a US Citizen",93,Hospitals (622),3060,Government - State,No,No,Employed-At Work,0,36.057625,3.585118353154675
542,1232,4660760973490,January,CA,3135.6129,2019.23,55,44,1,,29,1,1,0,0,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",430,"Private, For Profit",No,No,Employed-At Work,0,36.71327272727273,3.603138344373309
580,1300,44410360998196,January,CA,2914.2268,1730.76,40,44,1,,47,1,1,1,3,"Native, Born In US",93,Internet publishing and broadcasting and web search portals (51913),4710,"Private, For Profit",No,No,Employed-At Work,0,43.269,3.767436443269483
584,1312,53310760979891,January,CA,2884.5314,1500.0,40,44,1,,35,2,1,2,6,"Native, Born In US",93,Scientific research and development services (5417),840,Government - State,No,No,Employed-At Work,1,37.5,3.624340932976365
589,1320,58056202030650,January,CA,2889.1284,2884.61,50,45,1,8.0,34,2,1,0,0,"Native, Born Abroad Of US Parent(s)",93,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,1,57.6922,4.0551219824004106
590,1321,58056202030650,January,CA,3117.6833,2884.61,50,45,1,,34,1,1,0,0,"Native, Born In US",93,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,0,57.6922,4.0551219824004106
596,1331,60546067908790,January,CA,2601.584,407.5,25,44,1,1.0,59,2,7,0,0,"Native, Born In US",93,Legal services (5411),710,"Private, For Profit",No,No,Employed-At Work,1,16.3,2.791165107812717
599,1344,60901093001001,January,CA,3716.5958,1230.0,50,44,4,,59,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,"** Furniture and home furnishing, merchant wholesalers (*4232)",10,"Private, For Profit",No,No,Employed-At Work,1,24.6,3.202746442938317
600,1350,65520360020508,January,CA,3452.4723,1653.84,40,44,1,1.0,30,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,Specialized design services (5414),1107,"Private, For Profit",No,No,Employed-At Work,0,41.346,3.721975681603126
601,1351,65520360020508,January,CA,3457.9806,807.69,40,44,1,1.0,28,2,1,0,0,"Native, Born In US",93,"Museums, art galleries, historical sites, and similar institutions (712)",136,"Private, Nonprofit",No,No,Employed-At Work,1,20.19225,3.005298867423203
606,1366,74770360994195,January,CA,2962.7199,1250.0,50,44,1,,42,1,1,2,3,"Native, Born In US",93,Religious organizations (8131),2040,"Private, Nonprofit",No,No,Employed-At Work,0,25.0,3.2188758248682006
607,1367,74770360994195,January,CA,2937.0417,1307.69,40,44,1,,43,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,32.69225,3.4871380467554407
610,1371,79810760974975,January,CA,5228.215,1136.36,40,44,4,,29,1,7,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2330,Government - Local,Yes,,Employed-At Work,0,28.409,3.3467059963729655
614,1383,89810360992998,January,CA,2937.0417,2884.61,40,46,1,,40,2,1,2,6,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,Yes,,Employed-At Work,1,72.11525,4.27826553371462
615,1384,89810360992998,January,CA,3618.9876,2884.61,40,46,1,7.0,41,1,1,2,6,"Foreign Born, US Cit By Naturalization",93,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",1800,"Private, For Profit",No,No,Employed-At Work,0,72.11525,4.27826553371462
617,1390,90943004066636,January,CA,2993.0883,342.0,24,44,1,,64,2,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - Local,Yes,,Employed-At Work,1,14.25,2.6567569067146595
630,1414,92943200013678,January,CA,3322.9475,1788.0,50,44,1,,27,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work,1,35.76,3.576829950305313
631,1415,92943200013678,January,CA,3702.3638,1346.15,50,44,1,1.0,25,2,7,0,0,"Native, Born In US",93,Medical equipment and supplies manufacturing (3391),1530,"Private, For Profit",No,No,Employed-At Work,1,26.923000000000002,3.292980939874984
633,1417,92957701084698,January,CA,3544.3911,2788.46,60,44,1,,35,1,1,1,1,"Foreign Born, US Cit By Naturalization",93,Computer systems design and related services (5415),120,"Private, For Profit",No,No,Employed-At Work,0,46.474333333333334,3.8389001888748933
639,1435,93973800093618,January,CA,3293.8105,2884.61,40,44,4,,40,1,1,3,11,"Foreign Born, Not a US Citizen",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1020,"Private, For Profit",No,No,Employed-At Work,0,72.11525,4.27826553371462
645,1454,94927107035608,January,CA,3416.932,1923.07,40,45,2,,61,1,1,1,3,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,0,48.07675,3.872798692268385
659,1489,97977400095618,January,CA,3166.3863,2307.0,50,46,1,,47,2,1,1,4,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,1,46.14,3.8316802527456075
660,1493,98933906050656,January,CA,2968.0144,2307.69,40,44,4,,53,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,Computer systems design and related services (5415),110,"Private, For Profit",No,No,Employed-At Work,0,57.69225,4.0551228490683195
661,1494,98933906050656,January,CA,3840.966,692.3,40,44,4,,53,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,Employment services (5613),800,Government - State,Yes,,Employed-At Work,1,17.307499999999997,2.8511399335700434
678,1543,203908310199246,January,CA,2904.3764,750.0,40,44,1,,27,1,7,0,0,"Native, Born In US",93,"Independent artists, performing arts, spectator sports, and related industries (711)",2750,"Private, For Profit",No,No,Employed-At Work,0,18.75,2.9311937524164198
680,1545,206898730909001,January,CA,2914.2268,1250.0,40,44,1,,45,1,1,0,0,"Native, Born In US",93,"Independent artists, performing arts, spectator sports, and related industries (711)",2850,"Private, For Profit",Yes,,Employed-At Work,0,31.25,3.4420193761824107
684,1553,210761097407139,January,CA,3174.2668,2884.61,50,44,1,,30,2,1,0,0,"Native, Born In US",93,Computer systems design and related services (5415),50,"Private, For Profit",No,No,Employed-At Work,1,57.6922,4.0551219824004106
685,1554,210761097407139,January,CA,3194.1088,1923.07,55,44,1,,34,1,1,0,0,"Native, Born In US",93,Computer systems design and related services (5415),110,"Private, For Profit",No,No,Employed-At Work,0,34.96490909090909,3.55434496114985
694,1568,256080630550002,January,CA,3117.6833,1095.0,60,45,1,,32,1,7,0,0,"Foreign Born, US Cit By Naturalization",93,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,0,18.25,2.9041650800285006
695,1569,256080630550002,January,CA,2889.1284,807.0,40,44,1,7.0,31,2,7,0,0,"Native, Born In US",93,"Museums, art galleries, historical sites, and similar institutions (712)",136,"Private, Nonprofit",No,No,Employed-At Work,1,20.175,3.0044442141560124
698,1576,260177093001600,January,CA,3025.9292,500.0,40,46,1,7.0,35,2,1,0,0,"Foreign Born, Not a US Citizen",93,** Services to buildings and dwellings (5617 exc. 56173),4840,"Private, For Profit",No,No,Employed-At Work,1,12.5,2.5257286443082556
703,1585,260755057903294,January,CA,3862.7813,1538.46,40,44,4,,34,1,1,1,1,"Foreign Born, Not a US Citizen",93,"Non-depository credit and related activities (5222, 5223)",120,"Private, For Profit",No,No,Employed-At Work,0,38.4615,3.649657740960155
708,1598,274094619600569,January,CA,3208.4175,1115.0,40,44,5,,44,2,1,2,3,"Native, Born In US",93,Administration of human resource programs (923),3649,Government - Local,No,No,Employed-At Work,1,27.875,3.3277302297802827
709,1599,274095889600695,January,CA,4206.8878,2884.61,40,46,4,,39,1,1,1,1,"Foreign Born, US Cit By Naturalization",93,4795,1020,"Private, For Profit",No,No,Employed-At Work,0,72.11525,4.27826553371462
716,1618,300600064108619,January,CA,2841.7085,2100.0,40,44,1,,44,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),20,Government - Local,Yes,,Employed-At Work,1,52.5,3.960813169597578
718,1622,300600091090110,January,CA,4070.3369,2884.61,50,44,4,,39,1,1,3,10,"Native, Born In US",93,Medical equipment and supplies manufacturing (3391),1430,"Private, For Profit",No,No,Employed-At Work,0,57.6922,4.0551219824004106
729,1651,300609928558954,January,CA,3194.1088,1634.61,40,44,1,,31,1,7,0,0,"Foreign Born, Not a US Citizen",93,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work,0,40.865249999999996,3.710280068654017
736,1671,303905920590786,January,CA,2282.9108,1615.38,35,44,2,,55,2,7,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2010,"Private, Nonprofit",Yes,,Employed-At Work,1,46.15371428571429,3.831977440607671
742,1684,340964097603079,January,CA,2976.1449,1923.07,40,44,4,,50,1,1,2,10,"Foreign Born, US Cit By Naturalization",93,3365,1400,"Private, For Profit",No,No,Employed-At Work,0,48.07675,3.872798692268385
743,1685,340964097603079,January,CA,3851.4879,1923.07,40,44,4,,50,2,1,2,10,"Foreign Born, US Cit By Naturalization",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1530,"Private, For Profit",No,No,Employed-At Work,1,48.07675,3.872798692268385
752,1707,407902250698496,January,CA,3130.1341,1730.0,45,44,1,,49,2,5,0,0,"Native, Born In US",93,Hospitals (622),430,"Private, For Profit",No,No,Employed-At Work,1,38.44444444444444,3.6492141977215047
764,1729,435002800600122,January,CA,3060.5871,700.0,50,45,1,,29,1,7,0,0,"Native, Born In US",93,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",2100,"Private, For Profit",No,No,Employed-At Work,0,14.0,2.6390573296152584
772,1746,460461092603949,January,CA,3287.91,961.53,40,45,4,,30,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,1,24.038249999999998,3.179646311676199
773,1747,460461092603949,January,CA,3577.9197,1923.07,40,44,4,,33,1,1,0,0,"Foreign Born, Not a US Citizen",93,Advertising and related services (5418),710,"Private, For Profit",No,No,Employed-At Work,0,48.07675,3.872798692268385
783,1765,507901700899476,January,CA,3224.6756,1854.0,40,44,1,,54,2,7,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2340,Government - Local,Yes,,Employed-At Work,1,46.35,3.836221292011864
787,1770,520469094307267,January,CA,2750.4162,2884.61,40,44,1,,61,1,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",3930,Government - State,No,No,Employed-At Work,0,72.11525,4.27826553371462
788,1771,520469094307267,January,CA,2778.1695,961.53,40,44,1,1.0,47,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",5360,"Private, For Profit",No,No,Employed-At Work,1,24.038249999999998,3.179646311676199
792,1776,550266008203050,January,CA,3459.5845,1538.0,40,44,1,,35,1,7,0,0,"Native, Born In US",93,Real estate (531),410,"Private, For Profit",No,No,Employed-At Work,0,38.45,3.649358695951653
803,1790,560234077705296,January,CA,3303.1246,2250.0,40,45,4,,55,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,Hospitals (622),3649,"Private, For Profit",Yes,,Employed-At Work,1,56.25,4.029806041084529
812,1807,578099978600814,January,CA,3057.9629,1223.07,40,44,1,3.0,38,2,5,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,Yes,,Employed-At Work,1,30.576749999999997,3.4202399162394714
813,1811,603903440696006,January,CA,3618.9876,1512.4,40,44,1,1.0,42,1,1,4,6,"Native, Born In US",93,"Justice, public order, and safety activities (922, pt. 92115)",3820,Government - Local,Yes,,Employed-At Work,0,37.81,3.6325736179028416
816,1821,629800018720930,January,CA,3303.1246,865.0,24,44,4,,56,2,5,0,0,"Foreign Born, US Cit By Naturalization",93,Hospitals (622),3255,"Private, Nonprofit",No,No,Employed-At Work,1,36.041666666666664,3.5846756765839336
817,1823,629800018720930,January,CA,3569.2107,969.0,40,44,4,,59,1,5,0,0,"Foreign Born, US Cit By Naturalization",93,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4400,"Private, For Profit",No,No,Employed-At Work,0,24.225,3.18738515777683
823,1833,639000840600161,January,CA,2355.0756,2050.0,40,44,2,,48,2,5,0,0,"Native, Born In US",93,National security and international affairs (928),20,Government - Federal,Yes,,Employed-At Work,1,51.25,3.9367156180185177
880,1954,700609928558964,January,CA,3253.4675,1346.0,40,44,4,,30,2,1,0,0,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1020,"Private, For Profit",No,No,Employed-At Work,1,33.65,3.5160130560907366
881,1955,700609928558964,January,CA,5644.4675,1153.0,40,44,4,,29,1,1,0,0,"Foreign Born, Not a US Citizen",93,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work,0,28.825,3.3612430661551227
887,1967,700609949252366,January,CA,3017.4815,1250.0,25,44,1,,60,2,1,0,0,"Native, Born In US",93,Child day care services (6244),2300,"Private, For Profit",No,No,Employed-At Work,1,50.0,3.912023005428146
890,1972,700609960450687,January,CA,3303.7238,1854.16,40,44,1,,51,2,1,2,10,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,46.354,3.8363075881803677
896,1990,700609978592063,January,CA,4206.8878,2400.0,40,44,4,,35,1,1,2,2,"Foreign Born, Not a US Citizen",93,*** Electronic shopping (New industry *454111),1020,"Private, For Profit",No,No,Employed-At Work,0,60.0,4.0943445622221
901,1996,700609983456587,January,CA,3057.3628,2884.61,50,46,1,,55,1,7,0,0,"Native, Born In US",93,Investigation and security services (5616),2100,"Private, For Profit",No,No,Employed-At Work,0,57.6922,4.0551219824004106
904,2004,707006180107856,January,CA,3093.3094,1538.46,40,44,1,1.0,34,2,6,2,10,"Native, Born In US",93,Elementary and secondary schools (6111),230,"Private, For Profit",No,No,Employed-At Work,1,38.4615,3.649657740960155
913,2017,735003590600179,January,CA,3502.057,2884.61,45,44,4,,46,1,1,2,3,"Foreign Born, Not a US Citizen",93,Wired telecommunications carriers (*5171),1020,"Private, For Profit",No,No,Employed-At Work,0,64.10244444444444,4.1604824980582364
914,2018,735003590600179,January,CA,3764.9964,2500.0,40,44,4,,47,2,1,2,3,"Foreign Born, Not a US Citizen",93,Wired telecommunications carriers (*5171),1020,"Private, For Profit",No,No,Employed-At Work,1,62.5,4.135166556742356
921,2031,760547003908495,January,CA,3244.0056,1153.84,40,46,1,,46,2,7,0,0,"Native, Born In US",93,"Independent artists, performing arts, spectator sports, and related industries (711)",2850,"Private, Nonprofit",No,No,Employed-At Work,1,28.845999999999997,3.3619713351613183
927,2043,772092567600543,January,CA,2834.2886,2307.69,55,44,1,,50,1,5,0,0,"Native, Born In US",93,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",2016,Government - Local,No,No,Employed-At Work,0,41.958,3.7366691179497846
932,2056,800962095907579,January,CA,3841.2795,2884.61,60,45,4,,55,2,7,0,0,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",2100,"Private, For Profit",No,No,Employed-At Work,1,48.07683333333333,3.8728004256064557
944,2074,833097039600891,January,CA,3075.9881,2884.61,40,44,4,,52,1,1,1,3,"Foreign Born, US Cit By Naturalization",93,3365,300,"Private, For Profit",No,No,Employed-At Work,0,72.11525,4.27826553371462
960,2112,900261009107000,January,CA,3186.8971,2000.0,40,44,4,,41,1,1,0,0,"Foreign Born, Not a US Citizen",93,Computer systems design and related services (5415),110,"Private, For Profit",No,No,Employed-At Work,0,50.0,3.912023005428146
965,2129,909066755079830,January,CA,3187.7561,1015.0,40,44,1,,50,2,7,0,0,"Native, Born In US",93,Hospitals (622),430,"Private, For Profit",No,No,Employed-At Work,1,25.375,3.2337644373619514
982,2172,936001200600177,January,CA,2937.0417,1028.0,40,46,1,,44,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,Scientific research and development services (5417),1910,"Private, For Profit",No,No,Employed-At Work,1,25.7,3.246490991901174
983,2173,936001200600177,January,CA,2962.7199,2115.0,40,46,1,,44,1,7,0,0,"Foreign Born, Not a US Citizen",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,Yes,Employed-At Work,0,52.875,3.9679306373664422
987,2182,936079430749006,January,CA,2841.7085,1292.3,24,44,1,,42,2,1,3,6,"Native, Born In US",93,Elementary and secondary schools (6111),1820,Government - Local,No,Yes,Employed-At Work,1,53.84583333333333,3.9861250251832
993,2189,938006919079370,January,CA,2884.5314,769.23,20,44,1,,36,2,1,2,1,"Native, Born In US",93,Elementary and secondary schools (6111),2000,Government - Local,Yes,,Employed-At Work,1,38.4615,3.649657740960155
1014,2228,956799670179007,January,CA,3088.3206,2692.3,45,44,1,,51,1,1,2,10,"Foreign Born, Not a US Citizen",93,Pharmaceutical and medicine manufacturing (3254),7700,"Private, For Profit",No,No,Employed-At Work,0,59.82888888888889,4.091488636092755
1015,2229,956799670179007,January,CA,2841.7085,1875.0,40,44,1,,44,2,1,2,10,"Native, Born In US",93,Elementary and secondary schools (6111),3230,Government - Local,Yes,,Employed-At Work,1,46.875,3.847484484290575
1016,2230,957006765079340,January,CA,2962.7199,2884.61,60,44,1,,43,1,7,0,0,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",120,Government - Federal,No,No,Employed-At Work,0,48.07683333333333,3.8728004256064557
